"businessLegalName","doingBusinessAsName","businessAddressText","streetAddressText","cityName","stateCode","zipCode","sectionCodeList"
"ANDY'S ENTERPRISE INC","ANDY'S CARRYOUT","5033 COLUMBIA PIKE ARLINGTON VA 22204-2906","5033 COLUMBIA PIKE","ARLINGTON","VA","22204-2906","611: Restaurant"
"ANDY'S HOME IMPROVEMENTS INC","","6829 SILVER ANN DR LORTON VA 22079-1311","6829 SILVER ANN DR","LORTON","VA","22079-1311","64: Contractors"
"ANGEL CONTRERAS","","NAT'L AIRPORT ARLINGTON VA","NAT'L AIRPORT","ARLINGTON","VA","","58: Personal Services"
"ANGEL HOME ENTERPRISE INC","","","","","","","64: Contractors"
"ANGELICA M AGUILON TIRADO","ANGELICA HOUSE CLEANING SERVICE","3613 9TH ST S ARLINGTON VA 22204-1501","3613 9TH ST S","ARLINGTON","VA","22204-1501","58: Personal Services"
"ANGELICA ORDONEZ","","7413 CHATHAM ST SPRINGFIELD VA 22151-3118","7413 CHATHAM ST","SPRINGFIELD","VA","22151-3118","38003: Peddlers - Other for Profit"
"ANGEON GROUP LLC","","3033 WILSON BLVD # 700 ARLINGTON VA 22201-3868","3033 WILSON BLVD","ARLINGTON","VA","22201-3868","57B: Specialized"
"ANGIE FASHION BOTANICA LLC","","3215 COLUMBIA PIKE ARLINGTON VA 22204-4363","3215 COLUMBIA PIKE","ARLINGTON","VA","22204-4363","61: Retail Merchant"
"ANGLICOTECH LLC","","1901 S BELL ST # 325 ARLINGTON VA 22202-4505","1901 S BELL ST","ARLINGTON","VA","22202-4505","57B: Specialized"
"ANH HUA","","1100 S HAYES ST ARLINGTON VA 22202-4907","1100 S HAYES ST","ARLINGTON","VA","22202-4907","38003: Peddlers - Other for Profit"
"ANHPHUONG LE TRAN","LYON VILLAGE BARBER SHOP","3135 LEE HWY ARLINGTON VA 22201-4207","3135 LEE HWY","ARLINGTON","VA","22201-4207","58: Personal Services"
"ANIMAL CLINIC OF ARLINGTON LLC","CLARENDON ANIMAL CARE","3000 10TH ST N # B ARLINGTON VA 22201-2124","3000 10TH ST N","ARLINGTON","VA","22201-2124","57A: Professional"
"ANIMAL WELFARE LEAGUE OF ARLINGTON","","2650 S ARLINGTON MILL DR ARLINGTON VA 22206-2212","2650 S ARLINGTON MILL DR","ARLINGTON","VA","22206-2212","381000: Show & Sale - Non-Profit"
"ANIRUDDHA DASGUPTA","","1139 KIRKWOOD RD ARLINGTON VA 22201-5075","1139 KIRKWOOD RD","ARLINGTON","VA","22201-5075","71A: Renting Residential Property"
"ANITA ABBOTT","","","","","","","71A: Renting Residential Property"
"ANITA FINKELSTEIN","","1221 N LINCOLN ST ARLINGTON VA 22201-4913","1221 N LINCOLN ST","ARLINGTON","VA","22201-4913","71A: Renting Residential Property"
"ANJALI JOLLY","","6306 30TH ST N ARLINGTON VA 22207-1175","6306 30TH ST N","ARLINGTON","VA","22207-1175","57B: Specialized"
"ANJANI HOLDING COMPANY LLC","CHARLEYS PHILLY STEAKS","1100 S HAYES ST # VC07 ARLINGTON VA 22202-4907","1100 S HAYES ST","ARLINGTON","VA","22202-4907","611: Restaurant"
"ANJANI HOLDING COMPANY LLC","CHARLEYS PHILLY STEAKS","1100 S HAYES ST # VC07 ARLINGTON VA 22202-4907","1100 S HAYES ST","ARLINGTON","VA","22202-4907","611: Restaurant"
"ANJU CRAMER & KEITH CRAMER","","3444 N GEORGE MASON DR ARLINGTON VA 22207-1840","3444 N GEORGE MASON DR","ARLINGTON","VA","22207-1840","71A: Renting Residential Property"
"ANLAR INCORPORATED","ANLAR INCORPORATED","1560 WILSON BLVD # 250 ARLINGTON VA 22209-2463","1560 WILSON BLVD","ARLINGTON","VA","22209-2463","57B: Specialized"
"ANN CASANOVA","","4708 38TH PL N ARLINGTON VA 22207-2915","4708 38TH PL N","ARLINGTON","VA","22207-2915","57B: Specialized"
"ANN FENTON","","110 E MANGROVE BAY WAY # 1624 JUPITER FL 33477-6461","110 E MANGROVE BAY WAY","JUPITER","FL","33477-6461","71A: Renting Residential Property"
"ANN MALCOLM","","PO BOX 25616 WASHINGTON DC 20027-8616","PO BOX 25616","WASHINGTON","DC","20027-8616","71A: Renting Residential Property"
"ANN MCCONNELL","","2719 11TH ST N ARLINGTON VA 22201-2827","2719 11TH ST N","ARLINGTON","VA","22201-2827","71A: Renting Residential Property"
"ANN NAILS INC","ANN NAILS","4600 LEE HWY # B ARLINGTON VA 22207-3419","4600 LEE HWY","ARLINGTON","VA","22207-3419","58: Personal Services"
"ANN S & ROBERT E SR CALLENDER AND ELIZABETH A CALLENDER","","1733 N QUEENS LN # 123 ARLINGTON VA 22201-3022","1733 N QUEENS LN","ARLINGTON","VA","22201-3022","71A: Renting Residential Property"
"ANN TAYLOR INC","","3033 WILSON BLVD # 700 ARLINGTON VA 22201-3866","3033 WILSON BLVD","ARLINGTON","VA","22201-3866","57B: Specialized"
"ANN TAYLOR RETAIL INC","ANN TAYLOR RETAIL INC #882","1201 S JOYCE ST ARLINGTON VA 22202-2066","1201 S JOYCE ST","ARLINGTON","VA","22202-2066","61: Retail Merchant"
"ANN TAYLOR RETAIL INC","ANN TAYLOR RETAIL INC #407","1100 S HAYES ST ARLINGTON VA 22202-4907","1100 S HAYES ST","ARLINGTON","VA","22202-4907","61: Retail Merchant"
"ANN TAYLOR RETAIL INC","ANN TAYLOR RETAIL INC #1149","2800 CLARENDON BLVD # 1048 ARLINGTON VA 22201-7012","2800 CLARENDON BLVD","ARLINGTON","VA","22201-7012","61: Retail Merchant"
"ANN TAYLOR RETAIL INC","ANN TAYLOR RETAIL INC #894","2700 CLARENDON BLVD ARLINGTON VA 22201-7005","2700 CLARENDON BLVD","ARLINGTON","VA","22201-7005","61: Retail Merchant"
"ANN VANDYKE","","2407 COLUMBIA PIKE # 200 ARLINGTON VA 22204-4400","2407 COLUMBIA PIKE","ARLINGTON","VA","22204-4400","71B: Renting Commercial Real Estate"
"ANNA MARIA FRANCIS","","5275 LEE HWY # 104 ARLINGTON VA 22207-1619","5275 LEE HWY","ARLINGTON","VA","22207-1619","57A: Professional"
"ANNA MARIA ORCINO STIVERS TRUST","","5009 WILSON BLVD ARLINGTON VA 22203-1440","5009 WILSON BLVD","ARLINGTON","VA","22203-1440","71B: Renting Commercial Real Estate"
"ANNA NAILS & SPA LLC","AURA DAY SPA","3437 WILSON BLVD ARLINGTON VA 22201-2235","3437 WILSON BLVD","ARLINGTON","VA","22201-2235","58: Personal Services"
"ANNA WEATHERLEY","","2356 N LINCOLN ST ARLINGTON VA 22207-3862","2356 N LINCOLN ST","ARLINGTON","VA","22207-3862","71A: Renting Residential Property"
"ANNAMMA J JACOB","ANNAMMA J JACOB M.D.","1635 N GEORGE MASON DR # 240 ARLINGTON VA 22205-3681","1635 N GEORGE MASON DR","ARLINGTON","VA","22205-3681","57A: Professional"
"ANNAMS SYSTEMS CORPORATION","SUNFLOWER SYSTEMS","2001 JEFFERSON DAVIS HWY # 204 ARLINGTON VA 22202-3604","2001 JEFFERSON DAVIS HWY","ARLINGTON","VA","22202-3604","57B: Specialized"
"ANNANDALE MILLWORK AND ALLIED SYSTEMS CORPORATION","","220 ARBOR CT WINCHESTER VA 22602-4534","220 ARBOR CT","WINCHESTER","VA","22602-4534","64: Contractors"
"ANNANDALE ROOFING COMPANY INC","ANNANDALE ROOFING","7005 TERRACE CT ANNANDALE VA 22003-1837","7005 TERRACE CT","ANNANDALE","VA","22003-1837","64: Contractors"
"ANNE  UNO","CETERA ADVISOR NETWORKS LLC","933 N KENMORE ST # 217 ARLINGTON VA 22201-2236","933 N KENMORE ST","ARLINGTON","VA","22201-2236","57B: Specialized"
"ANNE ARUNDEL FIRE PROTECTION INC","","","","","","","64: Contractors"
"ANNE MCKNIGHT","","5319 LEE HWY ARLINGTON VA 22207-1607","5319 LEE HWY","ARLINGTON","VA","22207-1607","57B: Specialized"
"ANNE TOMAS","","2676 HILLSMAN ST FALLS CHURCH VA 22043-3343","2676 HILLSMAN ST","FALLS CHURCH","VA","22043-3343","71A: Renting Residential Property"
"ANNIE M PARKER","A & J BEAUTY SALON","2114 S SHIRLINGTON RD ARLINGTON VA 22204-5360","2114 S SHIRLINGTON RD","ARLINGTON","VA","22204-5360","58: Personal Services"
"ANNING JOHNSON CO INC","","1959 ANSON DR MELROSE PARK IL 60160-1018","1959 ANSON DR","MELROSE PARK","IL","60160-1018","64: Contractors"
"ANTHONY  BUERK","ADVANCED FACILITY CONCEPTS","340 OLD STAGE RD LEWISBERRY PA 17339-9558","340 OLD STAGE RD","LEWISBERRY","PA","17339-9558","64: Contractors"
"ANTHONY & SYLVAN POOLS CORP","","6690 BETA DR # 300 MAYFIELD VILLAGE OH 44143-2359","6690 BETA DR","MAYFIELD VILLAGE","OH","44143-2359","64: Contractors"
"ANTHONY CAMMAROTA","","","","","","","71A: Renting Residential Property"
"ANTHONY MECHANICAL COMPANY INC","","821 W TANTALLON DR FORT WASHINGTON MD 20744-6326","821 W TANTALLON DR","FORT WASHINGTON","MD","20744-6326","64: Contractors"
"ANTHONY PRIEST","","1011 ARLINGTON BLVD # 606 ARLINGTON VA 22209-2207","1011 ARLINGTON BLVD","ARLINGTON","VA","22209-2207","71A: Renting Residential Property"
"ANTHONY R TAYLOR","","1201 S BARTON ST # 162 ARLINGTON VA 22204-4860","1201 S BARTON ST","ARLINGTON","VA","22204-4860","71A: Renting Residential Property"
"ANTHONY SPAGNOLO","","PO BOX 28 MCLEAN VA 22101-0028","PO BOX 28","MCLEAN","VA","22101-0028","71A: Renting Residential Property"
"ANTHONY VILLARI","TRUE BLUE HEATING AND AIR CONDITIONING","5631 MILLS FIELD LN PORT REPUBLIC MD 20676-2067","5631 MILLS FIELD LN","PORT REPUBLIC","MD","20676-2067","64: Contractors"
"ANTHONY WILDER DESIGN/BUILD INC","","7913 MACARTHUR BLVD CABIN JOHN MD 20818-1605","7913 MACARTHUR BLVD","CABIN JOHN","MD","20818-1605","64: Contractors"
"ANTIQUE FLOORS & RESTORATION LLC","","37736 HYATT LN PURCELLVILLE VA 20132-3618","37736 HYATT LN","PURCELLVILLE","VA","20132-3618","64: Contractors"
"ANTIS VETERANS ENGINEERING & TECHNICAL SERVICES LLC","AVETS LLC","1100 N GLEBE RD # 1010 ARLINGTON VA 22201-5786","1100 N GLEBE RD","ARLINGTON","VA","22201-5786","57A: Professional"
"ANTON PARTIK","","2116 N TROY ST ARLINGTON VA 22201-3621","2116 N TROY ST","ARLINGTON","VA","22201-3621","71A: Renting Residential Property"
"ANTONIEL F DELEON & ESTELA C BARRIOS","TACOS EL TORITO","","","","","","38001: Peddlers - Food for Profit"
"ANTONIO  ALVES","ANTONIO ALVES CONSTRUCTION CO","234 N LINCOLN AVE STERLING VA 20164-1902","234 N LINCOLN AVE","STERLING","VA","20164-1902","64: Contractors"
"ANTONIO N TR DIAS","R","1500 OAKVIEW DR MCLEAN VA 22101-4141","1500 OAKVIEW DR","MCLEAN","VA","22101-4141","71A: Renting Residential Property"
"ANTUNOVICH ASSOCIATES INC","ANTUNOVICH ASSOCIATES INC","2200 CLARENDON BLVD # 1150 ARLINGTON VA 22201-3379","2200 CLARENDON BLVD","ARLINGTON","VA","22201-3379","57A: Professional"
"ANV CONSTRUCTION GROUP","","10281 FROSTY CT # 200 MANASSAS VA 20109-2512","10281 FROSTY CT","MANASSAS","VA","20109-2512","81A: Builders/Developers"
"ANVID INC","AUTOGATE ELECTRIC","5562 PORT ROYAL RD SPRINGFIELD VA 22151-2303","5562 PORT ROYAL RD","SPRINGFIELD","VA","22151-2303","64: Contractors"
"AOB REAL ESTATE VENTURE LLC","","2200 CLARENDON BLVD # 1201 ARLINGTON VA 22201-3331","2200 CLARENDON BLVD","ARLINGTON","VA","22201-3331","57B: Specialized"
"A-ONE ELECTRICAL SERVICE LLC","","","","","","","64: Contractors"
"AOR MANAGEMENT COMPANY OF VIRGINIA LLC","","1635 N GEORGE MASON DR # 170 ARLINGTON VA 22205-3633","1635 N GEORGE MASON DR","ARLINGTON","VA","22205-3633","57A: Professional"
"AOWCGWA - W & M","","","","","","","57B: Specialized"
"AP BUILDING & DESIGN LLC","","3413 SPRING LAKE TER FAIRFAX VA 22030-2032","3413 SPRING LAKE TER","FAIRFAX","VA","22030-2032","64: Contractors"
"APAC INC","","","","","","","64: Contractors"
"APAH WESTOVER APARTMENTS LIMITED PARTNERSHIP","","5705 WASHINGTON BLVD ARLINGTON VA 22205-2943","5705 WASHINGTON BLVD","ARLINGTON","VA","22205-2943","71A: Renting Residential Property"
"APAH WESTOVER LLC","","5705 WASHINGTON BLVD ARLINGTON VA 22205-2943","5705 WASHINGTON BLVD","ARLINGTON","VA","22205-2943","71A: Renting Residential Property"
"APB SERVICES LLC","","1539 COAT RIDGE RD HERNDON VA 20170-2729","1539 COAT RIDGE RD","HERNDON","VA","20170-2729","58: Personal Services"
"APEX CAPITAL VENTURES LLC","","850 N RANDOLPH ST # 104 ARLINGTON VA 22203-4001","850 N RANDOLPH ST","ARLINGTON","VA","22203-4001","57B: Specialized"
"APEX COMPANIES LLC","","15850 CRABBS BRANCH WAY # 200 ROCKVILLE MD 20855-2610","15850 CRABBS BRANCH WAY","ROCKVILLE","MD","20855-2610","64: Contractors"
"APEX CONSTRUCTION LLC","","11743 LAKEWOOD LN FAIRFAX STATION VA 22039-2102","11743 LAKEWOOD LN","FAIRFAX STATION","VA","22039-2102","64: Contractors"
"APEX ELECTRIC SERVICE INC","","PO BOX 21 CLIFTON VA 20124-0021","PO BOX 21","CLIFTON","VA","20124-0021","64: Contractors"
"APEX EXPERT SOLUTIONS LLC","","900 N GLEBE RD # 600 ARLINGTON VA 22203-1822","900 N GLEBE RD","ARLINGTON","VA","22203-1822","57B: Specialized"
"APEX EXPERT SOLUTIONS LLC","","2711 JEFFERSON DAVIS HWY # 901 ARLINGTON VA 22202-4015","2711 JEFFERSON DAVIS HWY","ARLINGTON","VA","22202-4015","57B: Specialized"
"APEX GENERAL CONTRACTING LLC","","","","","","","64: Contractors"
"APEX LIMO INC","","1201 S COURTHOUSE RD # 639 ARLINGTON VA 22204-4643","1201 S COURTHOUSE RD","ARLINGTON","VA","22204-4643","58: Personal Services"
"APEX WATERPROOFING INC","","","","","","","64: Contractors"
"APFED","AMERICAN PARTNERSHIP FOR EOSINOPHILLIC DISORDERS","","","","","","381000: Show & Sale - Non-Profit"
"APG ALTERNATIVES LLC","","8405 REFLECTION LN VIENNA VA 22182-5212","8405 REFLECTION LN","VIENNA","VA","22182-5212","64: Contractors"
"APIC CORPORATION","","901 N STUART ST # 200 ARLINGTON VA 22203-1821","901 N STUART ST","ARLINGTON","VA","22203-1821","57B: Specialized"
"APOGEE RESEARCH LLC","","4075 WILSON BLVD # 600 ARLINGTON VA 22203-2140","4075 WILSON BLVD","ARLINGTON","VA","22203-2140","86B: Qualified Tech Bus 1-499"
"APOLLONIA BUSINESS SOLUTIONS LLC","","2011 CRYSTAL DR # 400 ARLINGTON VA 22202-3709","2011 CRYSTAL DR","ARLINGTON","VA","22202-3709","57B: Specialized"
"APPLE COMPUTER INC","","1100 S HAYES ST # POR-A ARLINGTON VA 22202-4907","1100 S HAYES ST","ARLINGTON","VA","22202-4907","61: Retail Merchant"
"APPLE COMPUTER INC","","2700 CLARENDON BLVD # R200 ARLINGTON VA 22201-7007","2700 CLARENDON BLVD","ARLINGTON","VA","22201-7007","61: Retail Merchant"
"APPLE SIGNS INC","","404 SERENDIPITY DR # A MILLERSVILLE MD 21108-1971","404 SERENDIPITY DR","MILLERSVILLE","MD","21108-1971","64: Contractors"
"APPLE VALLEY GLASS & DOOR INC","","PO BOX 1096 FALLING WATERS WV 25419-1096","PO BOX 1096","FALLING WATERS","WV","25419-1096","64: Contractors"
"APPLETON CAMPBELL INC","","100 E FRANKLIN ST WARRENTON VA 20186-3344","100 E FRANKLIN ST","WARRENTON","VA","20186-3344","64: Contractors"
"APPLIED INTELLIGENCE GROUP INC","ANSWERWARE","200 N GLEBE RD # 803 ARLINGTON VA 22203-3728","200 N GLEBE RD","ARLINGTON","VA","22203-3728","57B: Specialized"
"APPLIED PHYSICAL SCIENCES CORP","","4301 FAIRFAX DR # 640 ARLINGTON VA 22203-1634","4301 FAIRFAX DR","ARLINGTON","VA","22203-1634","57B: Specialized"
"APPLIED PREDICTIVE TECHNOLOGIES INC","","4250 FAIRFAX DR # 11 ARLINGTON VA 22203-1607","4250 FAIRFAX DR","ARLINGTON","VA","22203-1607","86B: Qualified Tech Bus 1-499"
"APPLIED RESEARCH ASSOCIATES INC","","1235 S CLARK ST # 1212 ARLINGTON VA 22202-3296","1235 S CLARK ST","ARLINGTON","VA","22202-3296","57A: Professional"
"APPLIED RESEARCH ASSOCIATES INC","","801 N QUINCY ST # 700 ARLINGTON VA 22203-1730","801 N QUINCY ST","ARLINGTON","VA","22203-1730","57A: Professional"
"APPLIED SYSTEMS RESEARCH INC","","1100 N GLEBE RD ARLINGTON VA 22201-5798","1100 N GLEBE RD","ARLINGTON","VA","22201-5798","59: Business Services"
"APPLIED TECHNICAL CONSULTANTS LLC","","4600 37TH ST N ARLINGTON VA 22207-4326","4600 37TH ST N","ARLINGTON","VA","22207-4326","57B: Specialized"
"APPLYLOGIC CONSULTING GROUP LLC","","1200 S HAYES ST ARLINGTON VA 22202-5005","1200 S HAYES ST","ARLINGTON","VA","22202-5005","57B: Specialized"
"APPLYYOURSELF INC","","3033 WILSON BLVD ARLINGTON VA 22201-3843","3033 WILSON BLVD","ARLINGTON","VA","22201-3843","57B: Specialized"
"APS FLOORING INC","","18711 WALKERS CHOICE RD # 4 MONTGOMERY VILLAGE MD 20886-0614","18711 WALKERS CHOICE RD","MONTGOMERY VILLAGE","MD","20886-0614","64: Contractors"
"APTIMA INC","","1010 N GLEBE RD # 700 ARLINGTON VA 22201-4749","1010 N GLEBE RD","ARLINGTON","VA","22201-4749","86B: Qualified Tech Bus 1-499"
"APTS ACTION INC","","2100 CRYSTAL DR # 700 ARLINGTON VA 22202-3790","2100 CRYSTAL DR","ARLINGTON","VA","22202-3790","57B: Specialized"
"AQUAGUARD WATERPROOFING CORP","","6820 DISTRIBUTION DR BELTSVILLE MD 20705-1413","6820 DISTRIBUTION DR","BELTSVILLE","MD","20705-1413","64: Contractors"
"AQUILA FITNESS CONSULTING SYSTEMS LTD","","601 12TH ST S ARLINGTON VA 22202-4202","601 12TH ST S","ARLINGTON","VA","22202-4202","57B: Specialized"
"AQUILA FITNESS CONSULTING SYSTEMS LTD","","3701 FAIRFAX DR ARLINGTON VA 22203-1713","3701 FAIRFAX DR","ARLINGTON","VA","22203-1713","57B: Specialized"
"ARA CONSTRUCTION CORP","ARA CONSTRUCTION CORP","7500 ENERGY CT # 1 CURTIS BAY MD 21226-1762","7500 ENERGY CT","CURTIS BAY","MD","21226-1762","64: Contractors"
"ARA ELECTRIC LLC","","4316 HENDRICKS DR WOODBRIDGE VA 22193-5146","4316 HENDRICKS DR","WOODBRIDGE","VA","22193-5146","64: Contractors"
"ARA M THOMAS-BROWN","LIFE'S JOURNEYS","3801 FAIRFAX DR # 62 ARLINGTON VA 22203-1762","3801 FAIRFAX DR","ARLINGTON","VA","22203-1762","57B: Specialized"
"ARAMARK CORPORATION","","3501 FAIRFAX DR ARLINGTON VA 22201-2305","3501 FAIRFAX DR","ARLINGTON","VA","22201-2305","26D: Beer & Wine-On/Off, 562130: Mixed Drinks-151+ Seats, 611: Restaurant"
"ARAMARK CORRECTIONAL SERVICES LLC","ARAMARK","1435 N COURTHOUSE RD ARLINGTON VA 22201-2640","1435 N COURTHOUSE RD","ARLINGTON","VA","22201-2640","611: Restaurant"
"ARAMARK HEALTHCARE SUPPORT SERVICES LLC","SUBWAY","1701 N GEORGE MASON DR ARLINGTON VA 22205-3610","1701 N GEORGE MASON DR","ARLINGTON","VA","22205-3610","611: Restaurant"
"ARAMARK HEALTHCARE SUPPORT SERVICES LLC","VA HOSPITAL & CAFETERIA","1701 N GEORGE MASON DR ARLINGTON VA 22205-3610","1701 N GEORGE MASON DR","ARLINGTON","VA","22205-3610","57B: Specialized, 611: Restaurant"
"ARAMARK HEALTHCARE SUPPORT SERVICES LLC","STARBUCKS","1701 N GEORGE MASON DR ARLINGTON VA 22205-3610","1701 N GEORGE MASON DR","ARLINGTON","VA","22205-3610","611: Restaurant"
"ARAMARK MANAGEMENT SERVICES LP","","2807 N GLEBE RD ARLINGTON VA 22207-4224","2807 N GLEBE RD","ARLINGTON","VA","22207-4224","57B: Specialized"
"ARAMARK MANAGEMENT SERVICES LP","","1701 N GEORGE MASON DR ARLINGTON VA 22205-3610","1701 N GEORGE MASON DR","ARLINGTON","VA","22205-3610","58: Personal Services"
"ARANT CONSTRUCTION LLC","","104 SUE ANN CT STERLING VA 20164-1923","104 SUE ANN CT","STERLING","VA","20164-1923","64: Contractors"
"ARBAN & CAROSI INC","","13800 DAWSON BEACH RD WOODBRIDGE VA 22191-1415","13800 DAWSON BEACH RD","WOODBRIDGE","VA","22191-1415","64: Contractors"
"ARBAUGH COMMERCIAL INC","","","","","","","64: Contractors"
"ARBOR LANDSCAPERS INC","","2214 SPENCERVILLE RD SPENCERVILLE MD 20868-3014","2214 SPENCERVILLE RD","SPENCERVILLE","MD","20868-3014","59: Business Services"
"ARC CONSTRUCTION SERVICES INC","","3515 MARMENCO CT BALTIMORE MD 21230-3411","3515 MARMENCO CT","BALTIMORE","MD","21230-3411","64: Contractors"
"ARC CONTRACTING GROUP LLC","","","","","","","64: Contractors"
"ARC FLOOR CO INC","","7118 GEOFFREY WAY STE F FREDERICK MD 21704-7109","7118 GEOFFREY WAY STE F","FREDERICK","MD","21704-7109","64: Contractors"
"ARCANUM GLOBAL INC","","1001 19TH ST N # 2000 ARLINGTON VA 22209-1719","1001 19TH ST N","ARLINGTON","VA","22209-1719","57B: Specialized"
"ARCH DE CONSTRUCTION INC","","","","","","","64: Contractors"
"ARCH PROPERTIES COMPANY, LLC","","","","","","","71B: Renting Commercial Real Estate"
"ARCH PROPERTIES COMPANY, LLC","","","","","","","71B: Renting Commercial Real Estate"
"ARCH PROPERTIES COMPANY, LLC","","","","","","","71B: Renting Commercial Real Estate"
"ARCHIBUILD LC","","7509 MURILLO ST SPRINGFIELD VA 22151-2830","7509 MURILLO ST","SPRINGFIELD","VA","22151-2830","64: Contractors, 81A: Builders/Developers"
"ARCHITECTURAL GRAPHICS INC","AGI","2655 INTERNATIONAL PKWY VIRGINIA BEACH VA 23452-7802","2655 INTERNATIONAL PKWY","VIRGINIA BEACH","VA","23452-7802","64: Contractors"
"ARCHITECTURAL MATERIALS INC","","","","","","","64: Contractors"
"ARCHITECTURAL TRIM PRODUCTS INC","ATP INC","9110 EDGEWORTH DR CAPITOL HEIGHTS MD 20743-3713","9110 EDGEWORTH DR","CAPITOL HEIGHTS","MD","20743-3713","64: Contractors"
"ARCHSTONE ARLINGTON COURTHOUSE PLAZA LLC","COURTHOUSE PLAZA APARTMENTS","2250 CLARENDON BLVD ARLINGTON VA 22201-3332","2250 CLARENDON BLVD","ARLINGTON","VA","22201-3332","591: Parking Garages/Lots, 71A: Renting Residential Property, 71B: Renting Commercial Real Estate"
"ARCHSTONE COLUMBIA CROSSING LLC","COLUMBIA CROSSING APARTMENTS","1957 COLUMBIA PIKE ARLINGTON VA 22204-4569","1957 COLUMBIA PIKE","ARLINGTON","VA","22204-4569","591: Parking Garages/Lots, 71A: Renting Residential Property"
"ARCHSTONE CRYSTAL PLACE LLC","CRYSTAL PLACE APARTMENTS","1801 CRYSTAL DR ARLINGTON VA 22202-4412","1801 CRYSTAL DR","ARLINGTON","VA","22202-4412","591: Parking Garages/Lots, 71A: Renting Residential Property"
"ARCHSTONE GALLERY AT ROSSLYN LLC","1800 OAK APARTMENTS","1800 N OAK ST ARLINGTON VA 22209-2600","1800 N OAK ST","ARLINGTON","VA","22209-2600","591: Parking Garages/Lots, 71A: Renting Residential Property, 71B: Renting Commercial Real Estate"
"ARCHSTONE LINCOLN TOWERS LLC","BALLSTON SQUARE","850 N RANDOLPH ST ARLINGTON VA 22203-1978","850 N RANDOLPH ST","ARLINGTON","VA","22203-1978","591: Parking Garages/Lots, 71A: Renting Residential Property, 71B: Renting Commercial Real Estate"
"ARCHSTONE OAKWOOD ARLINGTON LLC","","1550 CLARENDON BLVD ARLINGTON VA 22209-2794","1550 CLARENDON BLVD","ARLINGTON","VA","22209-2794","71A: Renting Residential Property"
"ARCHSTONE PARKLAND GARDENS LLC","AVALON ARLINGTON NORTH","2105 N GLEBE RD ARLINGTON VA 22207-2218","2105 N GLEBE RD","ARLINGTON","VA","22207-2218","71A: Renting Residential Property"
"ARCO CONTRACTORS INC","","12221 PARKLAWN DR # 200B ROCKVILLE MD 20852-1799","12221 PARKLAWN DR","ROCKVILLE","MD","20852-1799","64: Contractors"
"ARCTIC CONSTRUCTION INC","","","","","","","64: Contractors"
"ARCTIC FIREPROOFING INC","","","","","","","64: Contractors"
"ARCTIC SLOPE TECHNICAL SERVICES INC","","2345 CRYSTAL DR # 500 ARLINGTON VA 22202-4816","2345 CRYSTAL DR","ARLINGTON","VA","22202-4816","57B: Specialized"
"ARD OF VERMONT INC","TETRA TECH ARD","1310 N COURTHOUSE RD # 600 ARLINGTON VA 22201-2594","1310 N COURTHOUSE RD","ARLINGTON","VA","22201-2594","57B: Specialized"
"ARD OF VERMONT INC","TETRA TECH ARD","1320 N COURTHOUSE RD # 600 ARLINGTON VA 22201-2598","1320 N COURTHOUSE RD","ARLINGTON","VA","22201-2598","57B: Specialized"
"ARDEN CONSTRUCTION LLC","","","","","","","64: Contractors"
"ARDENT COMPANY LLC","","","","","","","64: Contractors"
"ARDENT HOLDINGS LLC","ARDENT MEDIA LLC","2011 CRYSTAL DR # 400 ARLINGTON VA 22202-3709","2011 CRYSTAL DR","ARLINGTON","VA","22202-3709","61: Retail Merchant"
"ARDENT360 LLC","","","","","","","64: Contractors"
"AREA ACCESS INC","","7131 GATEWAY CT MANASSAS VA 20109-7306","7131 GATEWAY CT","MANASSAS","VA","20109-7306","64: Contractors"
"AREA CONSTRUCTION GROUP INC","","PO BOX 12310 SILVER SPRING MD 20908-0310","PO BOX 12310","SILVER SPRING","MD","20908-0310","64: Contractors"
"AREAS USA DCA LLC","SAM & HARRY'S","NAT'L AIRPORT ARLINGTON VA 22202","NAT'L AIRPORT","ARLINGTON","VA","22202-0000","26D: Beer & Wine-On/Off, 562130: Mixed Drinks-151+ Seats, 611: Restaurant"
"AREL ITAMAR AND AREL ORTAL","","","","","","","71A: Renting Residential Property"
"ARENA SYSTEMS INC","","","","","","","64: Contractors"
"AREP MARKET SQUARE OWNER LLC","","14800 CONFERENCE CENTER DR # 201 CHANTILLY VA 20151-3810","14800 CONFERENCE CENTER DR","CHANTILLY","VA","20151-3810","71B: Renting Commercial Real Estate"
"AREPA ZONE LLC","","3160B SPRING ST FAIRFAX VA 22031-2315","3160B SPRING ST","FAIRFAX","VA","22031-2315","38001: Peddlers - Food for Profit"
"ARETE ASSOCIATES","","1550 CRYSTAL DR # 703 ARLINGTON VA 22202-4139","1550 CRYSTAL DR","ARLINGTON","VA","22202-4139","57B: Specialized"
"ARGENT HEATING & COOLING LLC","","501 CHURCH ST NE # 306 VIENNA VA 22180-4734","501 CHURCH ST NE","VIENNA","VA","22180-4734","64: Contractors"
"ARGO LLC","M&N AUTO SALES","918 S MONROE ST # A ARLINGTON VA 22204-4208","918 S MONROE ST","ARLINGTON","VA","22204-4208","61: Retail Merchant"
